學年度,學院,系所,招生管道,報名人數,錄取人數,報到人數,註冊人數,休學人數,平均成績,平均修課學分
2021,管理學院,工業工程與管理系,分發入學,194,24,23,22,1,74.2,16.9
2021,管理學院,工業工程與管理系,申請入學,413,49,43,42,0,69.8,17.4
2021,管理學院,工業工程與管理系,繁星推薦,60,7,6,6,0,73.2,17.4
2021,管理學院,經營管理系,分發入學,215,26,23,23,1,73.1,17.7
2021,管理學院,經營管理系,申請入學,541,56,52,50,1,73.0,17.9
2021,管理學院,經營管理系,繁星推薦,21,3,3,3,0,74.6,17.4
2021,管理學院,資訊與財金管理系,分發入學,179,22,20,20,0,73.5,18.0
2021,管理學院,資訊與財金管理系,申請入學,359,42,39,38,1,69.6,17.0
2021,管理學院,資訊與財金管理系,繁星推薦,36,5,4,4,0,70.2,16.9
2021,設計學院,互動設計系,分發入學,126,16,14,14,0,72.1,16.8
2021,設計學院,互動設計系,申請入學,311,38,35,34,1,70.7,17.3
2021,設計學院,互動設計系,繁星推薦,46,5,5,5,0,73.9,17.4
2021,設計學院,工業設計系,分發入學,214,22,19,18,0,70.8,17.7
2021,設計學院,工業設計系,申請入學,423,47,41,39,1,70.0,17.0
2021,設計學院,工業設計系,繁星推薦,45,6,6,6,0,74.0,17.4
2021,設計學院,建築系,分發入學,163,21,20,19,0,73.5,16.9
2021,設計學院,建築系,申請入學,285,47,45,45,1,72.2,17.7
2021,設計學院,建築系,繁星推薦,40,6,6,6,0,69.9,17.3
2021,電資學院,光電工程系,分發入學,144,17,16,15,0,69.4,17.9
2021,電資學院,光電工程系,申請入學,41,8,7,7,0,70.2,17.2
2021,電資學院,光電工程系,繁星推薦,47,6,5,5,0,74.2,17.6
2021,電資學院,資訊工程系,分發入學,287,33,31,30,1,72.7,17.6
2021,電資學院,資訊工程系,申請入學,43,5,5,5,0,73.3,17.7
2021,電資學院,資訊工程系,繁星推薦,66,10,10,10,0,74.6,17.9
2021,電資學院,電子工程系,分發入學,234,30,29,28,0,74.7,17.0
2021,電資學院,電子工程系,申請入學,36,7,7,7,0,71.4,17.8
2021,電資學院,電子工程系,繁星推薦,64,8,7,7,0,70.4,17.1
2021,電資學院,電機工程系,分發入學,179,30,29,29,1,72.6,16.9
2021,電資學院,電機工程系,申請入學,666,68,62,60,2,71.4,17.0
2021,電資學院,電機工程系,繁星推薦,76,8,8,8,0,74.2,17.9
2022,人文與社會科學學院,應用英文系,分發入學,92,17,15,15,0,69.3,17.6
2022,人文與社會科學學院,應用英文系,申請入學,282,30,27,26,0,71.6,17.5
2022,人文與社會科學學院,應用英文系,繁星推薦,39,4,4,4,0,71.6,17.7
2022,人文與社會科學學院,文化事業發展系,分發入學,97,13,12,12,0,73.3,17.3
2022,人文與社會科學學院,文化事業發展系,申請入學,149,26,24,23,0,69.8,17.7
2022,人文與社會科學學院,文化事業發展系,繁星推薦,30,4,4,4,0,73.5,17.6
2022,工程學院,分子科學與工程系,分發入學,109,16,14,14,0,70.3,17.7
2022,工程學院,分子科學與工程系,申請入學,188,36,35,33,1,69.7,17.4
2022,工程學院,分子科學與工程系,繁星推薦,40,5,4,4,0,71.5,17.5
2022,工程學院,化學工程與生物科技系,分發入學,102,19,18,17,0,74.4,17.1
2022,工程學院,化學工程與生物科技系,申請入學,305,47,40,38,0,70.3,17.7
2022,工程學院,化學工程與生物科技系,繁星推薦,35,5,5,5,0,74.4,17.9
2022,工程學院,土木工程系,分發入學,209,21,19,19,0,72.7,17.7
2022,工程學院,土木工程系,申請入學,339,54,49,47,0,71.6,16.9
2022,工程學院,土木工程系,繁星推薦,44,7,7,7,0,74.5,17.5
2022,工程學院,材料及資源工程系,分發入學,122,16,14,14,0,71.4,17.1
2022,工程學院,材料及資源工程系,申請入學,274,36,35,34,1,74.0,17.8
2022,工程學院,材料及資源工程系,繁星推薦,32,4,3,3,0,70.1,16.9
2022,機電學院,機械工程系,分發入學,204,22,20,20,0,74.4,17.8
2022,機電學院,機械工程系,申請入學,281,45,39,38,1,72.6,17.3
2022,機電學院,機械工程系,繁星推薦,46,6,5,5,0,73.9,17.4
2022,機電學院,能源與冷凍空調工程系,分發入學,100,18,15,15,0,71.9,17.0
2022,機電學院,能源與冷凍空調工程系,申請入學,183,36,31,30,1,73.9,16.9
2022,機電學院,能源與冷凍空調工程系,繁星推薦,38,5,5,5,0,70.0,16.9
2022,機電學院,車輛工程系,分發入學,229,25,23,23,0,71.5,17.6
2022,機電學院,車輛工程系,申請入學,419,44,39,38,1,70.6,18.0
2022,機電學院,車輛工程系,繁星推薦,57,6,5,5,0,70.8,16.9
2022,管理學院,工業工程與管理系,分發入學,185,24,21,20,0,72.5,17.6
2022,管理學院,工業工程與管理系,申請入學,430,49,43,41,1,74.3,17.9
2022,管理學院,工業工程與管理系,繁星推薦,36,7,6,6,0,72.8,16.9
2022,管理學院,經營管理系,分發入學,185,26,23,23,0,73.2,18.0
2022,管理學院,經營管理系,申請入學,384,56,51,49,1,73.6,17.8
2022,管理學院,經營管理系,繁星推薦,16,3,3,3,0,73.7,17.1
2022,管理學院,資訊與財金管理系,分發入學,150,22,19,19,0,72.5,17.6
2022,管理學院,資訊與財金管理系,申請入學,332,42,38,37,1,74.5,17.9
2022,管理學院,資訊與財金管理系,繁星推薦,43,5,4,4,0,73.4,17.5
2022,設計學院,互動設計系,分發入學,144,16,15,15,0,70.0,17.7
2022,設計學院,互動設計系,申請入學,250,38,34,34,1,70.3,17.2
2022,設計學院,互動設計系,繁星推薦,34,5,4,4,0,70.1,17.5
2022,設計學院,工業設計系,分發入學,211,22,21,21,0,73.3,17.2
2022,設計學院,工業設計系,申請入學,254,47,42,41,1,70.7,17.0
2022,設計學院,工業設計系,繁星推薦,41,6,6,6,0,72.8,17.5
2022,設計學院,建築系,分發入學,177,21,19,19,0,70.6,17.6
2022,設計學院,建築系,申請入學,311,47,43,42,1,71.6,17.2
2022,設計學院,建築系,繁星推薦,33,6,6,6,0,72.3,17.4
2022,電資學院,光電工程系,分發入學,146,17,15,14,0,69.4,17.2
2022,電資學院,光電工程系,申請入學,50,8,8,8,0,73.4,17.3
2022,電資學院,光電工程系,繁星推薦,57,6,6,6,0,73.1,17.3
2022,電資學院,資訊工程系,分發入學,281,33,31,31,0,74.0,17.7
2022,電資學院,資訊工程系,申請入學,41,5,5,5,0,74.2,17.2
2022,電資學院,資訊工程系,繁星推薦,83,10,9,9,0,75.9,17.6
2022,電資學院,電子工程系,分發入學,244,30,27,26,0,75.0,17.8
2022,電資學院,電子工程系,申請入學,41,7,6,6,0,71.1,17.0
2022,電資學院,電子工程系,繁星推薦,61,8,7,7,0,73.6,17.8
2022,電資學院,電機工程系,分發入學,227,30,27,26,0,74.0,17.8
2022,電資學院,電機工程系,申請入學,403,68,59,58,2,75.1,16.9
2022,電資學院,電機工程系,繁星推薦,42,8,8,8,0,72.1,17.4
2023,人文與社會科學學院,應用英文系,分發入學,166,17,14,13,0,70.5,16.9
2023,人文與社會科學學院,應用英文系,申請入學,250,30,29,28,1,70.0,17.7
2023,人文與社會科學學院,應用英文系,繁星推薦,31,4,4,4,0,69.5,17.4
2023,人文與社會科學學院,文化事業發展系,分發入學,96,13,11,11,0,73.2,17.0
2023,人文與社會科學學院,文化事業發展系,申請入學,246,26,25,24,0,71.6,16.9
2023,人文與社會科學學院,文化事業發展系,繁星推薦,21,4,4,4,0,73.4,18.0
2023,工程學院,分子科學與工程系,分發入學,147,16,15,14,0,69.7,16.9
2023,工程學院,分子科學與工程系,申請入學,350,36,33,32,0,73.0,16.9
2023,工程學院,分子科學與工程系,繁星推薦,29,5,4,4,0,69.8,17.3
2023,工程學院,化學工程與生物科技系,分發入學,133,19,18,18,0,72.8,17.5
2023,工程學院,化學工程與生物科技系,申請入學,331,47,40,39,1,72.1,17.6
2023,工程學院,化學工程與生物科技系,繁星推薦,44,5,5,5,0,71.6,16.8
2023,工程學院,土木工程系,分發入學,146,21,20,19,0,73.4,17.2
2023,工程學院,土木工程系,申請入學,422,54,49,47,1,73.7,17.0
2023,工程學院,土木工程系,繁星推薦,57,7,6,6,0,71.2,17.2
2023,工程學院,材料及資源工程系,分發入學,152,16,15,14,0,69.8,17.7
2023,工程學院,材料及資源工程系,申請入學,183,36,32,31,1,69.6,17.3
2023,工程學院,材料及資源工程系,繁星推薦,30,4,4,4,0,69.9,17.7
2023,機電學院,機械工程系,分發入學,156,22,19,19,1,72.6,17.0
2023,機電學院,機械工程系,申請入學,411,45,42,41,1,74.9,17.9
2023,機電學院,機械工程系,繁星推薦,59,6,6,6,0,74.7,17.3
2023,機電學院,能源與冷凍空調工程系,分發入學,113,18,17,17,0,71.8,17.9
2023,機電學院,能源與冷凍空調工程系,申請入學,222,36,34,33,0,70.0,17.1
2023,機電學院,能源與冷凍空調工程系,繁星推薦,29,5,5,5,0,73.2,17.4
2023,機電學院,車輛工程系,分發入學,198,25,24,23,0,70.4,17.1
2023,機電學院,車輛工程系,申請入學,265,44,40,38,1,69.8,17.2
2023,機電學院,車輛工程系,繁星推薦,33,6,6,6,0,69.8,17.4
2023,管理學院,工業工程與管理系,分發入學,155,24,23,22,0,73.9,17.0
2023,管理學院,工業工程與管理系,申請入學,278,49,47,46,1,72.5,17.1
2023,管理學院,工業工程與管理系,繁星推薦,67,7,7,7,0,70.3,17.8
2023,管理學院,經營管理系,分發入學,234,26,22,21,0,70.6,17.3
2023,管理學院,經營管理系,申請入學,433,56,48,46,0,74.8,17.9
2023,管理學院,經營管理系,繁星推薦,25,3,3,3,0,71.8,17.5
2023,管理學院,資訊與財金管理系,分發入學,146,22,21,20,0,70.1,18.0
2023,管理學院,資訊與財金管理系,申請入學,417,42,38,37,1,70.5,17.9
2023,管理學院,資訊與財金管理系,繁星推薦,41,5,4,4,0,72.4,17.6
2023,設計學院,互動設計系,分發入學,105,16,14,13,0,73.7,18.0
2023,設計學院,互動設計系,申請入學,333,38,34,33,0,69.7,17.3
2023,設計學院,互動設計系,繁星推薦,38,5,4,4,0,71.7,17.1
2023,設計學院,工業設計系,分發入學,145,22,19,19,1,73.0,17.5
2023,設計學院,工業設計系,申請入學,349,47,46,45,1,71.3,17.3
2023,設計學院,工業設計系,繁星推薦,47,6,6,6,0,71.5,17.9
2023,設計學院,建築系,分發入學,154,21,19,19,0,73.3,17.7
2023,設計學院,建築系,申請入學,369,47,41,40,0,72.3,17.2
2023,設計學院,建築系,繁星推薦,49,6,5,5,0,74.3,17.5
2023,電資學院,光電工程系,分發入學,155,17,15,15,0,70.1,17.8
2023,電資學院,光電工程系,申請入學,69,8,7,7,0,74.1,17.5
2023,電資學院,光電工程系,繁星推薦,56,6,5,5,0,73.9,16.9
2023,電資學院,資訊工程系,分發入學,302,33,31,29,0,74.5,17.1
2023,電資學院,資訊工程系,申請入學,33,5,4,4,0,73.2,17.7
2023,電資學院,資訊工程系,繁星推薦,68,10,9,9,0,73.2,18.0
2023,電資學院,電子工程系,分發入學,150,30,28,28,1,70.5,17.1
2023,電資學院,電子工程系,申請入學,41,7,6,6,0,74.4,17.4
2023,電資學院,電子工程系,繁星推薦,65,8,8,8,0,70.9,17.7
2023,電資學院,電機工程系,分發入學,152,30,27,26,1,74.1,17.5
2023,電資學院,電機工程系,申請入學,504,68,60,57,2,74.5,17.3
2023,電資學院,電機工程系,繁星推薦,61,8,7,7,0,73.8,17.1
2024,人文與社會科學學院,應用英文系,分發入學,168,17,15,14,0,72.3,17.1
2024,人文與社會科學學院,應用英文系,申請入學,212,30,27,26,1,73.3,17.3
2024,人文與社會科學學院,應用英文系,繁星推薦,38,4,3,3,0,70.4,17.2
2024,人文與社會科學學院,文化事業發展系,分發入學,88,13,12,12,0,72.2,17.6
2024,人文與社會科學學院,文化事業發展系,申請入學,130,26,24,23,0,71.2,17.6
2024,人文與社會科學學院,文化事業發展系,繁星推薦,31,4,4,4,0,73.5,17.2
2024,工程學院,分子科學與工程系,分發入學,109,16,14,14,0,69.1,17.3
2024,工程學院,分子科學與工程系,申請入學,256,36,31,29,1,72.7,17.7
2024,工程學院,分子科學與工程系,繁星推薦,31,5,4,4,0,71.2,17.9
2024,工程學院,化學工程與生物科技系,分發入學,115,19,17,16,0,70.3,17.0
2024,工程學院,化學工程與生物科技系,申請入學,388,47,40,39,1,73.8,17.5
2024,工程學院,化學工程與生物科技系,繁星推薦,47,5,5,5,0,71.4,17.7
2024,工程學院,土木工程系,分發入學,109,21,18,18,0,71.7,17.2
2024,工程學院,土木工程系,申請入學,287,54,49,47,0,74.6,16.9
2024,工程學院,土木工程系,繁星推薦,52,7,7,7,0,72.0,17.7
2024,工程學院,材料及資源工程系,分發入學,102,16,14,13,0,71.1,17.9
2024,工程學院,材料及資源工程系,申請入學,219,36,33,32,1,74.1,17.6
2024,工程學院,材料及資源工程系,繁星推薦,37,4,3,3,0,72.6,17.2
2024,機電學院,機械工程系,分發入學,190,22,20,20,1,74.3,17.0
2024,機電學院,機械工程系,申請入學,414,45,40,39,0,75.1,18.0
2024,機電學院,機械工程系,繁星推薦,36,6,6,6,0,71.0,16.9
2024,機電學院,能源與冷凍空調工程系,分發入學,113,18,17,16,0,72.9,17.1
2024,機電學院,能源與冷凍空調工程系,申請入學,347,36,33,32,1,69.5,18.0
2024,機電學院,能源與冷凍空調工程系,繁星推薦,36,5,5,5,0,72.1,17.1
2024,機電學院,車輛工程系,分發入學,172,25,23,23,0,70.6,17.2
2024,機電學院,車輛工程系,申請入學,373,44,42,41,0,70.6,17.2
2024,機電學院,車輛工程系,繁星推薦,51,6,5,5,0,72.8,17.7
2024,管理學院,工業工程與管理系,分發入學,207,24,22,21,0,71.1,17.7
2024,管理學院,工業工程與管理系,申請入學,342,49,43,41,0,72.7,16.8
2024,管理學院,工業工程與管理系,繁星推薦,46,7,6,6,0,73.2,17.1
2024,管理學院,經營管理系,分發入學,257,26,23,22,1,71.0,17.6
2024,管理學院,經營管理系,申請入學,393,56,50,49,1,71.4,17.2
2024,管理學院,經營管理系,繁星推薦,18,3,3,3,0,72.7,17.8
2024,管理學院,資訊與財金管理系,分發入學,119,22,21,20,0,72.1,16.9
2024,管理學院,資訊與財金管理系,申請入學,360,42,37,36,0,74.2,17.2
2024,管理學院,資訊與財金管理系,繁星推薦,44,5,5,5,0,71.1,17.3
2024,設計學院,互動設計系,分發入學,109,16,15,15,0,72.2,17.5
2024,設計學院,互動設計系,申請入學,252,38,33,31,0,73.6,17.5
2024,設計學院,互動設計系,繁星推薦,32,5,5,5,0,72.2,17.9
2024,設計學院,工業設計系,分發入學,117,22,20,19,0,72.2,17.4
2024,設計學院,工業設計系,申請入學,291,47,40,39,1,70.1,17.5
2024,設計學院,工業設計系,繁星推薦,51,6,5,5,0,71.3,17.2
2024,設計學院,建築系,分發入學,134,21,18,17,0,70.3,17.6
2024,設計學院,建築系,申請入學,392,47,45,44,0,72.7,16.9
2024,設計學院,建築系,繁星推薦,43,6,5,5,0,71.1,17.4
2024,電資學院,光電工程系,分發入學,107,17,16,15,0,72.1,17.5
2024,電資學院,光電工程系,申請入學,60,8,7,7,0,72.2,17.8
2024,電資學院,光電工程系,繁星推薦,35,6,5,5,0,71.5,17.3
2024,電資學院,資訊工程系,分發入學,193,33,29,28,1,75.1,17.7
2024,電資學院,資訊工程系,申請入學,45,5,4,4,0,71.1,17.2
2024,電資學院,資訊工程系,繁星推薦,81,10,9,9,0,71.3,17.8
2024,電資學院,電子工程系,分發入學,268,30,28,27,0,71.2,17.5
2024,電資學院,電子工程系,申請入學,53,7,7,7,0,74.9,17.0
2024,電資學院,電子工程系,繁星推薦,71,8,7,7,0,72.3,17.7
2024,電資學院,電機工程系,分發入學,233,30,28,27,1,74.4,17.4
2024,電資學院,電機工程系,申請入學,435,68,62,59,2,75.4,16.8
2024,電資學院,電機工程系,繁星推薦,58,8,8,8,0,73.0,17.0
2025,人文與社會科學學院,應用英文系,分發入學,148,17,15,14,0,69.6,17.6
2025,人文與社會科學學院,應用英文系,申請入學,177,30,26,25,0,69.5,16.9
2025,人文與社會科學學院,應用英文系,繁星推薦,39,4,4,4,0,73.9,17.6
2025,人文與社會科學學院,文化事業發展系,分發入學,84,13,12,12,0,73.4,17.3
2025,人文與社會科學學院,文化事業發展系,申請入學,185,26,25,24,0,71.2,17.9
2025,人文與社會科學學院,文化事業發展系,繁星推薦,27,4,4,4,0,70.1,17.8
2025,工程學院,分子科學與工程系,分發入學,153,16,14,14,0,70.8,17.2
2025,工程學院,分子科學與工程系,申請入學,323,36,34,33,1,73.0,17.7
2025,工程學院,分子科學與工程系,繁星推薦,50,5,4,4,0,72.4,17.1
2025,工程學院,化學工程與生物科技系,分發入學,166,19,17,17,0,70.0,17.0
2025,工程學院,化學工程與生物科技系,申請入學,389,47,45,43,1,71.3,17.1
2025,工程學院,化學工程與生物科技系,繁星推薦,48,5,4,4,0,73.2,17.1
2025,工程學院,土木工程系,分發入學,106,21,18,18,0,72.3,17.8
2025,工程學院,土木工程系,申請入學,390,54,51,50,0,69.8,17.0
2025,工程學院,土木工程系,繁星推薦,39,7,6,6,0,71.3,17.4
2025,工程學院,材料及資源工程系,分發入學,89,16,15,15,0,70.2,17.3
2025,工程學院,材料及資源工程系,申請入學,243,36,32,30,1,71.1,17.2
2025,工程學院,材料及資源工程系,繁星推薦,31,4,4,4,0,70.7,17.7
2025,機電學院,機械工程系,分發入學,146,22,19,18,0,71.0,16.9
2025,機電學院,機械工程系,申請入學,442,45,43,41,1,73.2,17.5
2025,機電學院,機械工程系,繁星推薦,41,6,5,5,0,71.9,17.1
2025,機電學院,能源與冷凍空調工程系,分發入學,150,18,16,15,0,72.0,17.9
2025,機電學院,能源與冷凍空調工程系,申請入學,240,36,34,33,1,71.9,17.3
2025,機電學院,能源與冷凍空調工程系,繁星推薦,43,5,5,5,0,69.7,17.3
2025,機電學院,車輛工程系,分發入學,225,25,22,22,0,73.1,17.2
2025,機電學院,車輛工程系,申請入學,242,44,41,39,1,73.4,17.4
2025,機電學院,車輛工程系,繁星推薦,35,6,6,6,0,70.8,17.4
2025,管理學院,工業工程與管理系,分發入學,182,24,20,20,0,72.7,17.5
2025,管理學院,工業工程與管理系,申請入學,369,49,45,43,1,73.1,17.3
2025,管理學院,工業工程與管理系,繁星推薦,58,7,6,6,0,72.7,17.5
2025,管理學院,經營管理系,分發入學,194,26,23,23,0,74.6,17.8
2025,管理學院,經營管理系,申請入學,541,56,49,47,1,73.6,17.2
2025,管理學院,經營管理系,繁星推薦,26,3,3,3,0,70.5,18.0
2025,管理學院,資訊與財金管理系,分發入學,181,22,19,19,1,73.8,17.6
2025,管理學院,資訊與財金管理系,申請入學,358,42,37,36,1,74.2,17.2
2025,管理學院,資訊與財金管理系,繁星推薦,30,5,4,4,0,72.7,17.3
2025,設計學院,互動設計系,分發入學,107,16,14,14,0,72.1,17.6
2025,設計學院,互動設計系,申請入學,307,38,36,34,1,70.1,17.6
2025,設計學院,互動設計系,繁星推薦,47,5,5,5,0,71.3,16.8
2025,設計學院,工業設計系,分發入學,205,22,21,20,0,71.2,17.8
2025,設計學院,工業設計系,申請入學,292,47,44,43,1,72.0,17.9
2025,設計學院,工業設計系,繁星推薦,54,6,5,5,0,69.5,17.2
2025,設計學院,建築系,分發入學,134,21,19,18,0,73.4,17.4
2025,設計學院,建築系,申請入學,422,47,43,43,0,73.9,17.7
2025,設計學院,建築系,繁星推薦,38,6,6,6,0,73.8,17.0
2025,電資學院,光電工程系,分發入學,116,17,15,14,0,73.8,17.2
2025,電資學院,光電工程系,申請入學,77,8,7,7,0,70.9,16.8
2025,電資學院,光電工程系,繁星推薦,47,6,5,5,0,70.4,17.4
2025,電資學院,資訊工程系,分發入學,273,33,31,30,1,75.2,18.0
2025,電資學院,資訊工程系,申請入學,27,5,4,4,0,71.9,17.8
2025,電資學院,資訊工程系,繁星推薦,74,10,9,9,0,71.2,17.5
2025,電資學院,電子工程系,分發入學,254,30,27,27,0,71.0,16.9
2025,電資學院,電子工程系,申請入學,54,7,6,6,0,74.1,17.8
2025,電資學院,電子工程系,繁星推薦,51,8,7,7,0,75.0,17.3
2025,電資學院,電機工程系,分發入學,193,30,28,28,0,72.2,16.8
2025,電資學院,電機工程系,申請入學,670,68,59,58,1,73.7,17.3
2025,電資學院,電機工程系,繁星推薦,77,8,8,8,0,71.1,16.9
2026,人文與社會科學學院,應用英文系,分發入學,110,17,15,14,0,70.3,17.1
2026,人文與社會科學學院,應用英文系,申請入學,253,30,27,27,1,70.4,17.8
2026,人文與社會科學學院,應用英文系,繁星推薦,35,4,4,4,0,71.6,17.1
2026,人文與社會科學學院,文化事業發展系,分發入學,115,13,11,10,0,70.5,17.7
2026,人文與社會科學學院,文化事業發展系,申請入學,166,26,24,24,0,73.0,17.8
2026,人文與社會科學學院,文化事業發展系,繁星推薦,32,4,4,4,0,72.0,17.9
2026,工程學院,分子科學與工程系,分發入學,140,16,15,14,0,73.7,16.8
2026,工程學院,分子科學與工程系,申請入學,189,36,34,32,1,71.6,17.3
2026,工程學院,分子科學與工程系,繁星推薦,31,5,4,4,0,71.3,17.1
2026,工程學院,化學工程與生物科技系,分發入學,100,19,16,15,0,73.5,17.3
2026,工程學院,化學工程與生物科技系,申請入學,374,47,45,43,1,71.3,17.2
2026,工程學院,化學工程與生物科技系,繁星推薦,40,5,5,5,0,72.1,17.7
2026,工程學院,土木工程系,分發入學,144,21,19,18,0,71.9,17.3
2026,工程學院,土木工程系,申請入學,359,54,49,48,1,74.4,17.5
2026,工程學院,土木工程系,繁星推薦,53,7,7,7,0,73.4,17.1
2026,工程學院,材料及資源工程系,分發入學,85,16,15,14,0,71.9,17.9
2026,工程學院,材料及資源工程系,申請入學,335,36,32,31,1,69.5,18.0
2026,工程學院,材料及資源工程系,繁星推薦,37,4,4,4,0,73.0,17.6
2026,機電學院,機械工程系,分發入學,155,22,19,19,0,72.8,17.2
2026,機電學院,機械工程系,申請入學,392,45,41,40,0,72.8,17.1
2026,機電學院,機械工程系,繁星推薦,43,6,6,6,0,74.1,17.1
2026,機電學院,能源與冷凍空調工程系,分發入學,96,18,16,15,0,70.2,18.0
2026,機電學院,能源與冷凍空調工程系,申請入學,264,36,32,31,1,74.0,18.0
2026,機電學院,能源與冷凍空調工程系,繁星推薦,50,5,4,4,0,72.6,18.0
2026,機電學院,車輛工程系,分發入學,237,25,24,23,0,71.8,17.2
2026,機電學院,車輛工程系,申請入學,401,44,42,41,1,70.0,17.9
2026,機電學院,車輛工程系,繁星推薦,33,6,5,5,0,72.8,17.2
2026,管理學院,工業工程與管理系,分發入學,187,24,23,22,0,72.4,17.8
2026,管理學院,工業工程與管理系,申請入學,274,49,44,43,0,70.3,17.8
2026,管理學院,工業工程與管理系,繁星推薦,58,7,6,6,0,71.3,17.9
2026,管理學院,經營管理系,分發入學,144,26,24,23,0,70.9,17.2
2026,管理學院,經營管理系,申請入學,315,56,53,51,0,72.1,17.3
2026,管理學院,經營管理系,繁星推薦,25,3,3,3,0,71.8,17.7
2026,管理學院,資訊與財金管理系,分發入學,196,22,20,20,0,71.7,17.3
2026,管理學院,資訊與財金管理系,申請入學,344,42,36,36,1,72.4,16.8
2026,管理學院,資訊與財金管理系,繁星推薦,43,5,5,5,0,74.1,16.9
2026,設計學院,互動設計系,分發入學,129,16,14,14,0,73.6,17.9
2026,設計學院,互動設計系,申請入學,298,38,35,34,0,73.9,17.7
2026,設計學院,互動設計系,繁星推薦,45,5,4,4,0,70.1,17.4
2026,設計學院,工業設計系,分發入學,193,22,19,18,0,69.5,17.6
2026,設計學院,工業設計系,申請入學,250,47,45,43,1,71.5,17.5
2026,設計學院,工業設計系,繁星推薦,47,6,6,6,0,71.7,17.1
2026,設計學院,建築系,分發入學,178,21,18,17,0,72.4,17.1
2026,設計學院,建築系,申請入學,274,47,42,41,1,71.4,17.5
2026,設計學院,建築系,繁星推薦,55,6,5,5,0,74.4,17.2
2026,電資學院,光電工程系,分發入學,120,17,16,16,0,71.4,16.8
2026,電資學院,光電工程系,申請入學,57,8,7,7,0,72.1,17.4
2026,電資學院,光電工程系,繁星推薦,56,6,5,5,0,74.2,17.4
2026,電資學院,資訊工程系,分發入學,173,33,30,29,0,71.5,17.9
2026,電資學院,資訊工程系,申請入學,29,5,5,5,0,71.7,17.4
2026,電資學院,資訊工程系,繁星推薦,51,10,9,9,0,74.1,17.8
2026,電資學院,電子工程系,分發入學,169,30,26,25,0,74.0,17.1
2026,電資學院,電子工程系,申請入學,68,7,7,7,0,72.8,17.4
2026,電資學院,電子工程系,繁星推薦,44,8,8,8,0,70.7,17.5
2026,電資學院,電機工程系,分發入學,260,30,28,27,0,70.6,17.8
2026,電資學院,電機工程系,申請入學,411,68,61,58,1,74.2,16.9
2026,電資學院,電機工程系,繁星推薦,47,8,7,7,0,71.8,17.8
